,Kanji,Meaning,Radicals,Sound
4,廃絶,abolition,Obsolete + Extinction,はいぜつ
5,絶叫,scream,Extinction + Shout,ぜっきょう
1,微か,faint,Delicate,かす
3,微生物,microbe,Delicate,びせいぶつ
0,逆らう,to go against,Reverse,さか
3,逆襲,counterattack,Reverse + Attack,ぎゃくしゅう
1,撮る,to take (a photograph),Photograph,と
4,回顧録,memoirs,Review + Record,かいころく
0,清潔,clean,Pure + Pure,せいけつ
1,澄む,"to become clear (water, air, etc.)",Lucidity,す
2,清い,clean,Pure,きよ
3,澄ます,to clear,Lucidity,す
4,清浄,pure,Pure + Cleanse,せいじょう
5,清涼,cool,Pure + Cool,せいりょう
3,公益,public interest,Benefit,こうえき
4,国益,national interest,Benefit,こくえき
1,移る,to move (house),Shift,うつ
4,幼児,young child,Infancy + Child,ようじ
7,胎児,fetus,Womb + Child,たいじ
1,並べる,to line up,Line Up,なら
3,軒並み,row of houses,House Counter + Line Up,のきな
2,巨匠,master,Giant + Artisan,きょしょう
3,倉庫,storehouse,Warehouse + Storage,そうこ
4,精一杯,the best one can do,Spirit + Cup Of Liquid,せいいっぱい
5,丹精,working earnestly,Rust Colored + Spirit,たんせい
2,攻める,to attack,Aggression,せ
3,侵攻,invasion,Invade + Aggression,しんこう
4,反攻,counteroffensive,Aggression,はんこう
1,入り江,inlet,Inlet,いえ
0,壊れる,to be broken,Break,こわ
1,壊す,to break,Break,こわ
2,破壊,destruction,Tear + Break,はかい
3,崩壊,collapse,Crumble + Break,ほうかい
4,壊滅,(complete) destruction,Break + Destroy,かいめつ
6,壊れ物,fragile article,Break,こわもの
7,全壊,complete destruction,Break,ぜんかい
2,診る,to examine (medically),Diagnose,み
0,乾杯,cheers,Dry + Cup Of Liquid,かんぱい
2,閣僚,cabinet ministers,The Cabinet + Colleague,かくりょう
3,官僚的,bureaucratic,Colleague,かんりょうてき
0,監督,supervision,Oversee + Coach,かんとく
1,寄る,to approach,Approach,よ
2,偏る,to lean (to one side),Biased,かたよ
4,偏り,deviation,Biased,かたよ
2,街灯,street light,Street + Lamp,がいとう
3,歓楽街,entertainment district,Delight + Street,かんらくがい
4,地下街,underground shopping center,Street,ちかがい
2,積もる,to pile up,Accumulate,つ
3,積む,to pile up,Accumulate,つ
4,累積,accumulation,Accumulate + Accumulate,るいせき
0,詰める,to stuff into,Stuffed,つ
1,詰まる,to be packed (with),Stuffed,つ
2,瓶詰め,bottling,Bottle + Stuffed,びんづ
4,詰め込む,to cram,Stuffed + Crowded,つこ
0,催促,pressing,Sponsor + Urge,さいそく
2,催告,notification,Sponsor,さいこく
1,披露宴,reception (e.g. wedding),Expose + Expose + Banquet,ひろうえん
1,促す,to urge,Urge,うなが
1,中欧,Central Europe,Europe,ちゅうおう
2,略す,to abbreviate,Abbreviation,りゃく
0,娘婿,son-in-law,Daughter + Groom,むすめむこ
1,一人娘,only daughter,Daughter,ひとりむすめ
1,猛烈,fierce,Fierce + Violent,もうれつ
0,恐怖,fear,Fear + Scary,きょうふ
1,怖い,scary,Scary,こわ
2,恐れる,to fear,Fear,おそ
3,恐ろしい,terrible,Fear,おそ
4,恐れ,fear,Fear,おそ
5,怖がる,to be afraid (of),Scary,こわ
1,日韓,Japan and South Korea,Korea,にっかん
3,航空母艦,aircraft carrier,Navigation + Warship,こうくうぼかん
4,航法,sailing,Navigation,こうほう
5,直航,direct voyage,Navigation,ちょっこう
1,乾燥,dryness,Dry + Dry Up,かんそう
2,乾く,to get dry,Dry,かわ
4,乾かす,"to dry (clothes, etc.)",Dry,かわ
4,恐らく,probably,Fear,おそ
6,恐竜,dinosaur,Fear + Dragon,きょうりゅう
7,恐喝,blackmail,Fear + Scold,きょうかつ
2,預ける,to leave (in someone's keeping),Deposit,あず
0,貧しい,poor,Poor,まず
1,貧乏,poverty-stricken,Poor + Scarce,びんぼう
1,偶に,occasionally,Accidentally,たま
3,快適,pleasant,Pleasant + Suitable,かいてき
1,伸ばす,"to grow long (e.g. hair, nails)",Stretch,の
2,伸びる,to stretch,Stretch,の
4,遅延,delay,Slow + Prolong,ちえん
2,系譜,genealogy,Lineage + Genealogy,けいふ
3,日系,(of) Japanese descent,Lineage,にっけい
1,ご覧,(please) try to,Look At,らん
3,閲覧,inspection,Inspection + Look At,えつらん
5,一覧,look,Look At,いちらん
2,愉快,pleasant,Pleasant + Pleasant,ゆかい
0,漏らす,to let leak,Leak,も
1,漏れる,to leak out,Leak,も
2,漏出,leaking out,Leak,ろうしゅつ
0,遊び,play,Play,あそ
2,遊ぶ,"to play (games, sports)",Play,あそ
3,遊戯,play,Play + Play,ゆうぎ
1,乏しい,meagre,Scarce,とぼ
3,窮乏,poverty,Destitute + Scarce,きゅうぼう
0,更に,furthermore,Again,さら
3,尚更,still more,Furthermore + Again,なおさら
8,更生,rehabilitation,Again,こうせい
1,離婚,divorce,Detach + Marriage,りこん
6,婚姻,marriage,Marriage + Marry,こんいん
5,背が高い,tall (of a person),Back,せたか
3,盗撮,sneak photography,Steal + Photograph,とうさつ
2,不詳,unknown,Detailed,ふしょう
1,騒ぐ,to make noise,Boisterous,さわ
1,懐かしい,dear (old),Nostalgia,なつ
2,抱く,to hold in one's arms (e.g. a baby),Hug,いだ
1,照らす,to shine on,Illuminate,て
2,照れる,to be shy,Illuminate,て
1,盗む,to steal,Steal,ぬす
2,窃盗,theft,Steal + Steal,せっとう
3,盗賊,thief,Steal + Robber,とうぞく
4,盗聴,interception (email),Steal + Listen,とうちょう
7,盗作,plagiarism,Steal,とうさく
5,凸版,letterpress,Convex + Edition,とっぱん
0,飾る,to decorate,Decorate,かざ
1,飾り,decoration,Decorate,かざ
2,飾り気,affectation,Decorate,かざけ
4,電飾,decorative lights,Decorate,でんしょく
0,浮く,to float,Float,う
2,浮かれる,to make merry,Float,う
1,越える,to cross over,Go Beyond,こ
2,越す,to cross over (e.g. mountain),Go Beyond,こ
1,化かす,to bewitch,,ば
0,渇く,to be thirsty,Thirst,かわ
1,枯渇,drying up,Wither + Thirst,こかつ
0,豪華,extravagant,Luxurious + Showy,ごうか
2,墓碑,gravestone,Grave + Tombstone,ぼひ
3,墳墓,grave,Tomb + Grave,ふんぼ
0,尋ねる,to ask,Inquire,たず
2,菜食,vegetable diet,Vegetable,さいしょく
1,偉い,great,Greatness,えら
1,探偵,detective,Look For + Spy,たんてい
2,粉砕,pulverization,Powder + Smash,ふんさい
1,編む,to knit,Knit,あ
3,編者,editor,Knit,へんしゃ
0,既に,already,Previously,すで
0,掃除,cleaning,Sweep + Exclude,そうじ
1,避ける,to avoid (physical contact with),Dodge,さ
2,除く,to remove,Exclude,のぞ
3,削除,deletion,Whittle Down + Exclude,さくじょ
4,免除,exemption,Excuse + Exclude,めんじょ
5,排除,exclusion,Reject + Exclude,はいじょ
9,除いて,except,Exclude,のぞ
10,徐々,slow,Gently,じょじょ
0,幾つ,how many,How Many,いく
1,幾ら,how much,How Many,いく
0,嘆く,to lament,Sigh,なげ
1,驚嘆,wonder,Surprised + Sigh,きょうたん
0,驚く,to be surprised,Surprised,おどろ
1,驚かす,to surprise,Surprised,おどろ
2,携帯,carrying (on one's person or in the hand),Portable + Belt,けいたい
2,貨幣,money,Freight + Cash,かへい
2,散らかす,to scatter around,Scatter,ち
3,散る,"to fall (e.g. blossoms, leaves)",Scatter,ち
4,散らし,leaflet,Scatter,ち
5,閑散,"deserted (esp. store, market, town, streets)",Leisure + Scatter,かんさん
2,脈拍,pulse,Vein + Beat,みゃくはく
1,内偵,secret investigation,Spy,ないてい
1,払う,"to pay (e.g. money, bill)",Pay,はら
2,掃く,to sweep,Sweep,は
0,蜘蛛の巣,spiderweb,Nest,くものす
1,巣立ち,leaving the nest,Nest,すだ
1,距離,distance,Distance + Detach,きょり
2,離れる,to be separated,Detach,はな
3,離す,to separate,Detach,はな
5,隔離,isolation,Isolate + Detach,かくり
6,駆け込む,to run into,Gallop + Crowded,かこ
0,似る,to resemble,Resemble,に
5,酷似,resembling closely,Cruel + Resemble,こくじ
0,富む,to be rich in,Rich,と
1,豆腐,tofu,Beans + Rot,とうふ
1,均衡,equilibrium,Equal + Equilibrium,きんこう
5,不均衡,imbalance,Equal + Equilibrium,ふきんこう
1,泥沼,bog,Mud + Bog,どろぬま
2,泥酔,being dead drunk,Mud + Drunk,でいすい
3,泥水,muddy water,Mud,どろみず
1,救う,to rescue from,Rescue,すく
2,普及,diffusion,Normal + Reach,ふきゅう
1,辛抱,patience,Spicy + Hug,しんぼう
2,用心棒,bodyguard,Pole,ようじんぼう
3,年俸,annual salary,Salary,ねんぽう
0,翻訳,translation,Flip + Translation,ほんやく
2,訳す,to translate,Translation,やく
6,訳者,translator,Translation,やくしゃ
7,邦訳,translation into Japanese,Home Country + Translation,ほうやく
8,訳語,translational equivalent,Translation,やくご
1,汚染,pollution,Dirty + Dye,おせん
3,染める,to dye,Dye,そ
4,染まる,to be dyed,Dye,そ
6,染み,stain,Dye,し
4,甘党,person who prefers sweet things to alcoholic drinks,Sweet + Group,あまとう
0,恩赦,amnesty,Kindness + Pardon,おんしゃ
0,秘密,secret,Secret + Secrecy,ひみつ
3,秘める,to hide,Secret,ひ
1,複雑,complex,Duplicate + Random,ふくざつ
0,汚い,dirty,Dirty,きたな
2,汚れる,to get dirty,Dirty,よご
3,汚す,to pollute,Dirty,よご
6,汚濁,pollution,Dirty + Muddy,おだく
2,紡績,spinning (textiles),Spinning + Exploits,ぼうせき
1,酸っぱい,sour,Acid,す
3,硫酸,sulfuric acid,Sulfur + Acid,りゅうさん
0,鶏卵,hen's egg,Chicken + Egg,けいらん
0,迎える,to go out to meet,Welcome,むか
1,歓迎,welcome,Delight + Welcome,かんげい
2,迎え,meeting,Welcome,むか
2,液晶,liquid crystal,Fluid + Crystal,えきしょう
0,捨てる,to throw away,Throw Away,す
1,欲しい,wanting (to have),Want,ほ
4,肉欲,lust,Want,にくよく
1,興奮,excitement,Interest + Stirred Up,こうふん
2,即興,improvisation,Instant + Interest,そっきょう
0,採る,"to adopt (a method, proposal, etc.)",Gather,と
4,伐採,felling timber,Fell + Gather,ばっさい
0,雑誌,magazine,Random + Magazine,ざっし
7,煩雑,complex,Annoy + Random,はんざつ
8,雑煮,soup containing rice cakes and vegetables (New Year's dish),Random + Boil,ぞうに
0,厳しい,severe,Strict,きび
1,厳粛,grave,Strict + Solemn,げんしゅく
2,威厳,dignity,Majesty + Strict,いげん
4,荘厳,solemn,Villa + Strict,そうごん
3,込める,"to load (a gun, etc.)",Crowded,こ
5,吹き込む,"to blow in (of wind, rain, etc.)",Blow + Crowded,ふこ
8,踏み込む,to step into (e.g. someone else's territory),Step + Crowded,ふこ
7,傷者,wounded person,Wound,しょうしゃ
1,暖房,(indoor) heating,Warm + Cluster,だんぼう
4,暖炉,fireplace,Warm + Furnace,だんろ
1,称える,to praise,Title,たた
2,闘志,fighting spirit,Struggle + Intention,とうし
1,秩序,order,Order + Preface,ちつじょ
0,飼う,to keep (a pet or other animal),Domesticate,か
0,砂糖,sugar,Sand + Sugar,さとう
1,地蔵,"Kshitigarbha (bodhisattva who looks over children, travellers and the underworld)",Storehouse,じぞう
0,肺がん,lung cancer,Lung,はい
0,繁盛,prosperity,Overgrown + Pile,はんじょう
1,盛る,"to serve (in a bowl, on a plate, etc.)",Pile,も
2,隆盛,prosperity,Prosperity + Pile,りゅうせい
2,忠誠,loyalty,Loyalty + Sincerity,ちゅうせい
1,舗装,paving (a road),Shop + Attire,ほそう
4,塗装,coating,Paint + Attire,とそう
6,装う,to dress (oneself in),Attire,よそお
7,装い,dress,Attire,よそお
8,偽装,camouflage,Fake + Attire,ぎそう
0,砂漠,desert,Sand + Desert,さばく
2,操る,to operate (e.g. a machine),Manipulate,あやつ
3,貞操,chastity,Chastity + Manipulate,ていそう
3,著しい,striking,Author,いちじる
6,顕著,remarkable,Appear + Author,けんちょ
2,砂丘,sand dune,Sand + Hill,さきゅう
1,異なる,to differ,Differ,こと
4,殊に,especially,Especially,こと
2,皇帝,emperor,Emperor + Sovereign,こうてい
4,皇后,empress (consort),Emperor + Empress,こうごう
1,垂れる,to hang,Dangle,た
2,垂らす,to dribble,Dangle,た
0,尊敬,respect,Revered + Respect,そんけい
1,尊い,precious,Revered,とうと
2,尊敬語,honorific language,Revered + Respect,そんけいご
2,拒否,refusal,Refusal + No,きょひ
4,いいえ,no,,
5,諾否,consent or refusal,Agreement + No,だくひ
3,裏切り,treachery,Backside,うらぎ
4,裏通り,side street (often parallel to a main street),Backside,うらどお
0,閉める,to close,Close,し
3,閉鎖,closing,Close + Chain,へいさ
5,閉じる,"to close (e.g. book, eyes, meeting, etc.)",Close,と
6,開閉,opening and shutting,Close,かいへい
7,幽閉,confinement,Secluded + Close,ゆうへい
1,暮らし,(way of) life,Livelihood,く
2,暮らす,to live,Livelihood,く
4,歳暮,year-end gift,Years Old + Livelihood,せいぼ
2,宝くじ,lottery,Treasure,たから
3,熟れる,"to ripen (fruit, grain, etc.)",Ripen,う
3,納豆,natto (fermented soybeans),Supply + Beans,なっとう
5,奉納,dedication,Dedicate + Supply,ほうのう
6,納入,"payment (of taxes, fees, etc.)",Supply,のうにゅう
2,宜しく,well,Best Regards,よろ
1,降る,"to fall (of rain, snow, ash, etc.)",Descend,ふ
0,奴隷,slave,Dude + Slave,どれい
6,貴賓,noble visitor,Valuable + VIP,きひん
2,枝豆,edamame (green soybeans),Branch + Beans,えだまめ
2,全損,total loss,Loss,ぜんそん
3,大損,heavy loss,Loss,おおぞん
2,沿う,to run along,Run Alongside,そ
3,沿海,sea along the coast,Run Alongside,えんかい
1,腐る,to rot,Rot,くさ
4,陳腐,stale,Exhibit + Rot,ちんぷ
5,防腐剤,antiseptic,Rot + Dose,ぼうふざい
7,湯豆腐,boiled tofu,Beans + Rot,ゆどうふ
0,純粋,pure,Pure + Stylish,じゅんすい
1,拝む,to assume the posture of praying,Worship,おが
2,崇拝,worship,Worship + Worship,すうはい
0,推薦,recommendation,Infer + Recommend,すいせん
2,推測,guess,Infer + Measure,すいそく
4,推奨,recommendation,Infer + Encourage,すいしょう
3,電磁場,electromagnetic field,Magnet,でんじば
0,誤り,error,Mistake,あやま
3,誤用,misuse,Mistake,ごよう
4,錯誤,mistake,Confused + Mistake,さくご
1,承諾,consent,Consent + Agreement,しょうだく
5,継承,inheritance,Inherit + Consent,けいしょう
0,彫刻,carving,Carve + Carve,ちょうこく
3,遅刻,lateness,Slow + Carve,ちこく
4,刻む,to mince,Carve,きざ
1,吐く,to vomit,Throw Up,は
2,吐き出す,to vomit,Throw Up,はだ
1,勧める,to recommend (someone to do),Recommend,すす
2,勧め,recommendation,Recommend,すす
3,自薦,self-recommendation,Recommend,じせん
5,噴射,jet,Erupt + Shoot,ふんしゃ
2,肝臓,liver,Liver + Internal Organs,かんぞう
3,肺臓,lungs,Lung + Internal Organs,はいぞう
1,縦書き,writing vertically,Vertical,たてが
0,爪切り,nail clippers,Claw,つめき
0,紹介,introduction,Introduce + Jammed In,しょうかい
1,厄介,trouble,Unlucky + Jammed In,やっかい
4,媒介,mediation,Mediator + Jammed In,ばいかい
1,肝炎,hepatitis,Liver + Flame,かんえん
0,渋滞,(traffic) congestion,Bitter + Stagnate,じゅうたい
1,滞る,to stagnate,Stagnate,とどこお
2,遅滞,delay,Slow + Stagnate,ちたい
3,沈滞,stagnation,Sink + Stagnate,ちんたい
6,破片,fragment,Tear + One Sided,はへん
7,破れる,to get torn,Tear,やぶ
2,酔っ払い,drunkard,Drunk + Pay,よぱら
3,払い戻す,to repay,Pay + Return,はらもど
4,払い,payment,Pay,はら
1,熊本県,Kumamoto Prefecture (Kyūshū),Bear,くまもとけん
2,熊の実,"clownfish (Amphiprioninae spp., esp. the yellowtail clownfish, Amphiprion clarkii)",Bear,くまみ
1,酔う,to get drunk,Drunk,よ
1,出獄,release (from prison),Prison,しゅつごく
3,試験地獄,(entrance) examination hell,Prison,しけんじごく
8,油彩,oil painting,Oil + Coloring,ゆさい
5,遅咲き,"late blooming (flower, talent)",Slow + Blossom,おそざ
4,憶測,guess,Recollection + Measure,おくそく
0,互い,each other,Mutual,たが
1,恥辱,disgrace,Shame + Humiliate,ちじょく
0,甘酢,sweet vinegar,Sweet + Vinegar,あまず
1,酢の物,vinegared dish,Vinegar,すもの
0,湖畔,lakeside,Lake + Shore,こはん
0,甘い,sweet-tasting,Sweet,あま
4,甘く見る,to not take seriously,Sweet,あまみ
3,旧暦,Japan's old (lunisolar) calendar,Former + Calendar,きゅうれき
4,旧姓,one's original family name,Former + Surname,きゅうせい
0,及ぼす,to exert (influence),Reach,およ
2,及ぶ,to reach,Reach,およ
3,及び,and,Reach,およ
1,舞う,to dance (orig. a whirling dance),Dance,ま
4,舞踏,dance (esp. Western style),Dance + Step,ぶとう
5,鼓舞,encouragement,Beat + Dance,こぶ
0,沖縄,"Okinawa (city, prefecture)",Open Sea + Rope,おきなわ
2,核分裂,nuclear fission,Nucleus + Split,かくぶんれつ
2,摘む,to pick,Pluck,つ
2,縄張り,stretching a rope around,Rope,なわば
3,縄文,straw-rope pattern pressed into earthenware,Rope,じょうもん
4,維新,reformation,Maintain,いしん
1,頼む,to request,Trust,たの
3,依頼,request,Reliant + Trust,いらい
4,頼み,request,Trust,たの
0,貢献,contribution (furthering a goal or cause),Tribute + Offer,こうけん
1,廃棄,disposal,Obsolete + Abandon,はいき
3,廃れる,to go out of use,Obsolete,すた
2,跡継ぎ,heir,Traces + Inherit,あとつ
1,遺跡,(archeological) remains,Leave Behind + Traces,いせき
5,遺憾,regrettable,Leave Behind + Remorse,いかん
0,狙う,"to aim at (with a weapon, etc.)",Aim,ねら
1,狙い,"aim (of a gun, bow, etc.)",Aim,ねら
0,香り,aroma,Fragrance,かお
4,芳香,perfume,Perfume + Fragrance,ほうこう
0,抵抗,resistance,Resist + Confront,ていこう
1,臨む,to look out on,Look To,のぞ
2,臨海,coastal,Look To,りんかい
1,掲げる,"to put up (a notice, sign, etc.)",Display,かか
4,敢闘,fighting bravely,Daring + Struggle,かんとう
1,爆弾,bomb,Explode + Bullet,ばくだん
6,自爆,suicide bombing (e.g. crashing one's plane into a target),Explode,じばく
0,崩れる,to collapse,Crumble,くず
1,崩す,to destroy,Crumble,くず
1,葬る,to bury,Burial,ほうむ
2,葬儀,funeral,Burial + Ceremony,そうぎ
0,賠償,compensation,Compensation + Reparation,ばいしょう
2,償う,to make up for,Reparation,つぐな
3,賠償金,indemnities,Compensation + Reparation,ばいしょうきん
2,募る,to become stronger,Recruit,つの
1,跳ねる,to jump,Hop,は
3,跳躍,jump,Hop + Leap,ちょうやく
4,躍る,to jump up,Leap,おど
8,遣り甲斐,value in doing something,Dispatch + Turtle Shell + Patterned,やがい
0,弾く,to play (a stringed or keyboard instrument),Bullet,ひ
4,弾劾,impeachment,Bullet + Censure,だんがい
5,銃弾,bullet (from a rifle),Gun + Bullet,じゅうだん
8,糾弾,censure,Twist + Bullet,きゅうだん
1,患う,to be ill,Afflicted,わずら
3,憂い,sorrow,Grief,うれ
4,疾患,disease,Rapid + Afflicted,しっかん
0,戻る,to turn back (e.g. half-way),Return,もど
1,戻す,to put back,Return,もど
2,執行猶予,stay of execution,Tenacious + Still,しっこうゆうよ
3,執る,to take (trouble),Tenacious,と
4,聴力,hearing ability,Listen,ちょうりょく
1,恵む,to bless,Favor,めぐ
0,削る,"to shave (wood, leather, etc.)",Whittle Down,けず
3,日刊,daily publication,Edition,にっかん
4,月刊,monthly publication,Edition,げっかん
2,アホ,fool,,
1,贈る,to give (as a gift),Presents,おく
2,贈呈,"presentation (of a gift, prize, etc.)",Presents + Present,ぞうてい
3,贈賄,giving a bribe,Presents + Bribe,ぞうわい
2,避妊,contraception,Dodge + Pregnant,ひにん
1,斜め,slanting,Diagonal,なな
2,傾く,to incline toward,Lean,かたむ
3,傾ける,to incline,Lean,かたむ
0,妊娠,pregnancy,Pregnant + Pregnant,にんしん
1,託す,to entrust (someone) with,Consign,たく
3,信託,trust,Consign,しんたく
0,賄賂,bribe,Bribe + Bribe,わいろ
0,緩やか,loose,Loose,ゆる
1,緩める,to loosen,Loose,ゆる
2,緩慢,slow,Loose + Ridicule,かんまん
3,緩い,loose,Loose,ゆる
4,緩む,to become loose,Loose,ゆる
0,賄う,"to supply (goods, money, etc.)",Bribe,まかな
1,奏楽,musical performance,Play Music,そうがく
2,碁盤,Go board,Go + Tray,ごばん
3,胎盤,placenta,Womb + Tray,たいばん
0,奥さん,wife,Interior,おく
3,憂慮,anxiety,Grief + Consider,ゆうりょ
1,宜しい,good,Best Regards,よろ
3,辞儀,bow,Ceremony,じぎ
1,繰る,to reel,Spin,く
1,致す,to do,Do,いた
3,雅致,artistry,Elegant + Do,がち
3,一人称,first person,Title,いちにんしょう
5,詐称,misrepresentation,Lie + Title,さしょう
0,扱う,to deal with (a person),Handle,あつか
1,扱い,treatment,Handle,あつか
0,伴う,to accompany,Accompany,ともな
0,逃げる,to run away,Escape,に
1,逃がす,to set free,Escape,に
2,逃れる,to escape,Escape,のが
5,逃す,to miss (e.g. a chance),Escape,のが
6,逃亡者,runaway,Escape,とうぼうしゃ
0,奪う,to take (by force),Rob,うば
0,拳銃,pistol,Fist + Gun,けんじゅう
1,御免,I'm sorry,Honorable + Excuse,ごめん
4,免疫,immunity,Excuse + Epidemic,めんえき
5,罷免,dismissal (from a position),Quit + Excuse,ひめん
6,免れる,"to escape (disaster, death, etc.)",Excuse,まぬが
7,赦免,pardon,Pardon + Excuse,しゃめん
8,免状,licence,Excuse,めんじょう
0,圏外,"outside (a region, area, etc.)",Range,けんがい
1,英語圏,English-speaking world,Range,えいごけん
3,南極圏,Antarctic Circle,Extreme + Range,なんきょくけん
4,片隅,corner,One Sided + Corner,かたすみ
0,埋まる,to be buried,Bury,う
1,埋没,being buried,Bury + Die,まいぼつ
2,埋める,to cover,Bury,うず
3,埋もれる,to be buried,Bury,う
1,慎む,to be careful,Humility,つつし
0,岐阜,"Gifu (city, prefecture)",Branch Off + Mound,ぎふ
1,邦人,Japanese national (esp. abroad),Home Country,ほうじん
4,躍動,lively motion,Leap,やくどう
5,躍り,leaping,Leap,おど
6,躍如,vivid,Leap + Likeness,やくじょ
3,甲乙,first and second,Turtle Shell + Latter,こうおつ
5,手の甲,back of the hand,Turtle Shell,てこう
0,譲る,to hand over,Defer,ゆず
0,雇う,to employ,Employ,やと
3,雇用者,employee,Employ,こようしゃ
14,お嬢さん,(another's) daughter,Miss,じょう
25,お握り,onigiri,Grip,にぎ
29,お盆,Obon,Lantern Festival,ぼん
1,渋い,astringent,Bitter,しぶ
0,群れ,group,Flock,む
2,群がる,to swarm,Flock,むら
3,群れる,to crowd,Flock,む
1,稲穂,ear (head) of rice,Rice Plant + Head of Plant,いなほ
1,棋譜,"record of a game of go, shogi, chess, etc.",Chess Piece + Genealogy,きふ
2,拒む,to refuse,Refusal,こば
0,仙人,immortal mountain wizard (in Taoism),Hermit,せんにん
1,仙台,Sendai (city in Miyagi),Hermit,せんだい
2,水仙,daffodil (esp. Narcissus tazetta var. chinensis),Hermit,すいせん
1,謙遜,modesty,Modesty + Humble,けんそん
2,謙譲語,humble language (e.g. itadaku),Modesty + Defer,けんじょうご
0,控える,to be temperate in,Abstain,ひか
1,控え,reserve,Abstain,ひか
0,犠牲,sacrifice,Sacrifice + Offering,ぎせい
2,犠飛,sacrifice fly,Sacrifice,ぎひ
2,繁殖,breeding,Overgrown + Multiply,はんしょく
3,生殖,reproduction,Multiply,せいしょく
0,兼ねる,to be unable to,Concurrently,か
2,雅楽,old Japanese court music,Elegant,ががく
1,薄い,thin (of an object),Dilute,うす
2,薄める,to dilute,Dilute,うす
0,外堀,outer moat (of a castle),Ditch,そとぼり
1,内堀,inner moat,Ditch,うちぼり
1,帆柱,mast,Sail + Pillar,ほばしら
0,頻りに,frequently,Frequent,しき
1,頻繁,frequent,Frequent + Overgrown,ひんぱん
3,頻発,frequent occurrence,Frequent,ひんぱつ
0,吹く,to blow (of the wind),Blow,ふ
0,茂る,to grow thickly,Luxuriant,しげ
1,繁茂,flourishing (of plants),Overgrown + Luxuriant,はんも
1,唱える,to recite,Chant,とな
6,独唱,vocal solo,Alone + Chant,どくしょう
0,駆ける,to run,Gallop,か
2,駆け出す,to run out,Gallop,かだ
4,翔る,to soar,Fly,かけ
2,不孝,undutifulness to one's parents,Filial Piety,ふこう
4,不孝者,unfilial son,Filial Piety,ふこうもの
3,鋭敏,"sharp (eyes, ears, etc.)",Sharp + Alert,えいびん
4,聡い,clever,Wise,さと
4,駐屯,stationing (troops),Resident + Barracks,ちゅうとん
5,駐留軍,stationed troops,Resident,ちゅうりゅうぐん
1,携わる,to engage in,Portable,たずさ
4,浸透,"permeation (of thought, ideology, culture, etc.)",Immersed + Transparent,しんとう
5,透き通る,to be transparent,Transparent,すとお
6,透ける,to be transparent,Transparent,す
7,不透明,opaque,Transparent,ふとうめい
3,錠剤,pill,Lock + Dose,じょうざい
0,俊才,prodigy,Genius,しゅんさい
0,鋭い,"sharp (knife, claws, etc.)",Sharp,するど
2,鋭利,sharp,Sharp,えいり
3,新鋭,young and energetic,Sharp,しんえい
4,最新鋭,state-of-the-art,Sharp,さいしんえい
3,排気,exhaust,Reject,はいき
5,排水溝,drainage,Reject + Gutter,はいすいこう
2,樹脂,resin,Wood + Fat,じゅし
0,至る,to arrive at (e.g. a decision),Attain,いた
3,至上,supremacy,Attain,しじょう
1,高瀬,shallow river,Rapids,たかせ
2,早瀬,swift current,Rapids,はやせ
1,田畑,fields (of rice and other crops),Field,たはた
2,桑畑,mulberry field,Mulberry + Field,くわばたけ
0,伺う,to call on someone,Pay Respects,うかが
1,伺い,call,Pay Respects,うかが
4,貫徹,accomplishment,Pierce + Penetrate,かんてつ
1,炭鉱,coal mine,Charcoal + Mineral,たんこう
1,零す,to spill,Zero,こぼ
4,投棄,abandonment,Abandon,とうき
2,偽る,to lie,Fake,いつわ
0,蜂蜜,honey,Bee + Honey,はちみつ
1,侵す,to invade,Invade,おか
3,潜伏,concealment,Conceal + Bow,せんぷく
5,潜る,to dive (into or under water),Conceal,もぐ
6,潜む,to lurk,Conceal,ひそ
7,原潜,nuclear submarine,Conceal,げんせん
2,包み,bundle,Wrap,つつ
3,包む,to wrap up,Wrap,つつ
5,包み紙,wrapping paper,Wrap,つつがみ
4,艦艇,naval vessels,Warship + Rowboat,かんてい
2,斎場,funeral hall,Purification,さいじょう
2,克明,detailed,Overcome,こくめい
5,苗床,seedbed,Seedling + Floor,なえどこ
0,暫く,for a moment,Temporarily,しばら
0,括弧,brackets,Fasten + Arc,かっこ
1,握る,to clasp,Grip,にぎ
2,把握,"grasp (of the situation, meaning, etc.)",Bundle + Grip,はあく
4,掌握,grasping,Manipulate + Grip,しょうあく
5,握り,grasping,Grip,にぎ
1,網羅,encompassing,Netting + Spread Out,もうら
2,網膜,retina,Netting + Membrane,もうまく
4,通信網,communications network,Netting,つうしんもう
0,泊まる,to stay at (e.g. hotel),Overnight,と
2,泊める,to give shelter to,Overnight,と
3,泊まり,(overnight) stay,Overnight,と
4,一泊,(staying) one night,Overnight,いっぱく
2,手堅い,sound,Solid,てがた
0,紛糾,complication,Distract + Twist,ふんきゅう
1,挑む,"to challenge to (a fight, game, etc.)",Challenge,いど
0,荒い,rough,Wild,あら
1,荒らす,to lay waste,Wild,あ
2,荒れる,to become stormy,Wild,あ
0,紛れる,to disappear into,Distract,まぎ
1,紛らす,to divert (e.g. one's mind),Distract,まぎ
2,紛れ,confusion,Distract,まぎ
0,掘る,to dig,Dig,ほ
0,掛け軸,hanging scroll,Axis,かじく
1,中軸,axis,Axis,ちゅうじく
2,枢軸,axle,Hinge + Axis,すうじく
2,東芝,Toshiba Corporation,Lawn,とうしば
