Kanji,Meaning,Radicals,Sound
殺人者,killer,Kill + Person + Someone,さつじんしゃ
七つ,seven,Seven,なな
７日,7th day of the month,Sun,なのか
２０日,20th day of the month,Sun,はつか
１０日,10th day of the month,Sun,とおか
２０歳,20 years old,Years Old,はたち
１０月,October,Moon,じゅうがつ
１０代,the teens (10-19),Substitute,じゅうだい
４０,forty,,よんじゅう
５０,fifty,,ごじゅう
１０万,"100,000",Ten Thousand,じゅうまん
工場,factory,Construction + Location,こうじょう
具合,condition,Tool + Suit,ぐあい
工業,(manufacturing) industry,Construction + Business,こうぎょう
工学,engineering,Construction + Study,こうがく
工事,construction work,Construction + Action,こうじ
工作,handicraft,Construction + Make,こうさく
九つ,nine,Nine,ここの
９日,9th day of the month,Sun,ここのか
八つ,eight,Eight,やっ
８日,8th day of the month,Sun,ようか
二つ,two,Two,ふた
双子,twins,Pair + Child,ふたご
再び,again,Again,ふたた
２日,2nd day of the month,Sun,ふつか
二日酔い,hangover,Two + Sun + Drunk,ふつかよ
二番,second,Two + Number In A Series,にばん
２月,February,Moon,にがつ
二階,second floor,Two + Floor,にかい
２００,200,,にひゃく
二重,double,Two + Heavy,にじゅう
二世,nisei,Two + World,にせい
二枚舌,double-dealing,Two + Flat Objects Counter + Tongue,にまいじた
富士山,Mount Fuji,Rich + Samurai + Mountain,ふじさん
二倍,double,Two + Double,にばい
上げる,to raise,Above,あ
上手,skillful,Above + Hand,じょうず
上る,to ascend,Above,のぼ
以上,not less than ...,By Means Of + Above,いじょう
上がる,to rise,Above,あ
屋上,rooftop,Roof + Above,おくじょう
上手い,skillful,Above + Hand,うま
上司,(one's) superior,Above + Director,じょうし
売り上げ,amount sold,Sell + Above,うあ
上級,upper level,Above + Rank,じょうきゅう
上旬,first third of a month,Above + In Season,じょうじゅん
浮気,extramarital sex,Float + Energy,うわき
和尚,priestly teacher,Peace + Furthermore,おしょう
上げ,tuck (e.g. in a dress),Above,あ
年上,older,Year + Above,としうえ
地上,above ground,Earth + Above,ちじょう
地下鉄,subway,Earth + Below + Iron,ちかてつ
靴下,socks,Shoes + Below,くつした
地下,underground,Earth + Below,ちか
下さい,please (give me),Below,くだ
降りる,to descend (e.g. a mountain),Descend,お
下手,unskillful,Below + Hand,へた
廊下,corridor,Corridor + Below,ろうか
下駄,geta,Below + Burdensome,げた
下がる,to come down,Below,さ
以下,not exceeding ...,By Means Of + Below,いか
下げる,to hang,Below,さ
下着,underwear,Below + Wear,したぎ
下痢,diarrhea,Below + Diarrhea,げり
下ろす,to take down,Below,お
